question_id,phase_key,phase_name,sequence_window,audience,category,question,spiritual_reflective_variant,primary_construct,secondary_constructs,expected_dimensions,context_relevance_prior,question_score_bias,min_answer_tokens_hint,risk_level,deep_question_requires_opt_in,status,version
CQ015,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Beziehung,Wer oder was ist von deiner Entscheidung noch betroffen?,,SYSTEMIC_CONTEXT,RELATIONSHIP,"CONNECTION,CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ016,P1_ENTRY,Einstieg,erste 1–3 Antworten,PRIVATE,Bedürfnisse,"Was brauchst du im Moment am meisten, um mit diesem Thema gut weiterzugehen?","Was in dir braucht gerade Raum, Schutz oder Erlaubnis?",NEEDS,BOUNDARIES,"APPRECIATION,FREE_WILL,CLARITY",0.45,0.0,6,MEDIUM,False,DRAFT,1
CQ017,P1_ENTRY,Einstieg,erste 1–3 Antworten,CORPORATE,Klarheit,Welche Beobachtung würdest du in einem neutralen Protokoll über die Situation festhalten?,,REALITY_OBSERVATION,CLARITY,CLARITY,0.45,0.0,6,LOW,False,DRAFT,1
CQ018,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Skalierung,Auf einer Skala von 0 bis 10: Wo stehst du heute in Bezug auf dein gewünschtes Ergebnis?,,GOAL_ORIENTATION,AGENCY,"CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ019,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Skalierung,"Was macht deinen heutigen Wert bereits möglich und verhindert, dass er niedriger ist?",Welche Kraft oder Unterstützung trägt dich bereits bis zu diesem Punkt?,RESOURCES,AGENCY,"AGENCY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ020,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Ziel & Fokus,"Welches Thema sollten wir heute bewusst nicht bearbeiten, damit der Fokus klar bleibt?","Was darf heute unberührt bleiben, damit genug Raum für das Wesentliche entsteht?",BOUNDARIES,CLARITY,"FREE_WILL,CLARITY,APPRECIATION",0.45,0.0,6,LOW,False,DRAFT,1
CQ021,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Vertiefung,"Was meinst du genau, wenn du dieses Wort verwendest?",,CLARITY,ASSUMPTIONS,CLARITY,0.6,0.0,10,LOW,False,DRAFT,1
CQ022,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Vertiefung,Woran machst du diese Einschätzung konkret fest?,,REALITY_OBSERVATION,ASSUMPTIONS,CLARITY,0.6,0.0,10,LOW,False,DRAFT,1
CQ023,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Annahmen,Welche Annahme steckt möglicherweise hinter deiner Schlussfolgerung?,Welche unausgesprochene Geschichte liegt vielleicht unter deiner Schlussfolgerung?,ASSUMPTIONS,BELIEFS,"CLARITY,OPENNESS",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ024,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Perspektive,Wie könnte eine andere beteiligte Person dieselbe Situation beschreiben?,,PERSPECTIVE_TAKING,RELATIONSHIP,"CONNECTION,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ025,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,CORPORATE,System,"Welche Rahmenbedingung beeinflusst dein Verhalten stärker, als dir lieb ist?",,SYSTEMIC_CONTEXT,LOCUS_OF_CONTROL,"CONNECTION,CLARITY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ026,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Einfluss,"Was könntest du verändern, ohne dass jemand anderes zuerst etwas tun muss?",Welcher nächste Schritt hängt nur von deiner eigenen Wahl ab?,AGENCY,LOCUS_OF_CONTROL,"AGENCY,FREE_WILL",0.6,0.0,10,LOW,False,DRAFT,1
CQ027,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Einfluss,"Was versuchst du gerade zu kontrollieren, das nicht vollständig in deiner Hand liegt?","Was darfst du loslassen, weil es nicht vollständig deiner Verfügung unterliegt?",LOCUS_OF_CONTROL,BOUNDARIES,"AGENCY,FREE_WILL,CLARITY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ028,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ausnahmen,Wann war die Situation zuletzt ein kleines bisschen leichter?,Wann war bereits ein Hauch der gewünschten Veränderung spürbar?,EXCEPTIONS,RESOURCES,"AGENCY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ029,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ausnahmen,Was war in diesem leichteren Moment anders – bei dir oder im Umfeld?,,EXCEPTIONS,SYSTEMIC_CONTEXT,"AGENCY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ030,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ressourcen,Welche Fähigkeit von dir hilft dir hier bereits?,"Welche Qualität in dir trägt dich hier bereits, auch wenn du sie selten würdigst?",RESOURCES,SELF_APPRECIATION,"AGENCY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ031,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ressourcen,"Wer könnte dich unterstützen, ohne dir die Verantwortung abzunehmen?",,RESOURCES,RELATIONSHIP,"AGENCY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ032,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Zukunft,Wenn es morgen zehn Prozent besser wäre: Was wäre als Erstes anders?,Wenn sich über Nacht nur ein kleiner innerer Raum öffnet: Was würdest du zuerst bemerken?,PREFERRED_FUTURE,AGENCY,"AGENCY,CLARITY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ033,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Zukunft,Wer würde die Veränderung vermutlich zuerst bemerken – und woran?,,PREFERRED_FUTURE,RELATIONSHIP,"AGENCY,CLARITY,OPENNESS",0.6,0.0,10,LOW,False,DRAFT,1
CQ034,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Optionen,"Welche Option hast du bisher ausgeschlossen, ohne sie wirklich zu prüfen?",Welche Möglichkeit durfte bisher noch nicht ernsthaft in dein Denken eintreten?,OPTIONS,ASSUMPTIONS,"FREE_WILL,OPENNESS,AGENCY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ035,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Optionen,"Was würdest du erwägen, wenn du nicht sofort entscheiden müsstest?","Welche Möglichkeit zeigt sich, wenn Entscheidung für einen Moment nicht nötig ist?",OPTIONS,FREE_WILL,"FREE_WILL,OPENNESS,AGENCY",0.6,0.0,10,LOW,False,DRAFT,1
CQ036,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,CORPORATE,Entscheidung,Welche Kriterien sollte eine tragfähige Entscheidung für dich erfüllen?,,DECISION,VALUES,"FREE_WILL,CLARITY,AGENCY",0.6,0.0,10,LOW,False,DRAFT,1
CQ037,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,PRIVATE,Entscheidung,Welche Entscheidung würde sich für dich zugleich klar und stimmig anfühlen?,"Welche Wahl fühlt sich nicht nur vernünftig, sondern innerlich wahrhaftig an?",DECISION,VALUES,"FREE_WILL,CLARITY,AGENCY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ038,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ambivalenz,"Was spricht für Veränderung – und was spricht dafür, alles erst einmal so zu lassen?",,AMBIVALENCE,DECISION,"OPENNESS,CLARITY,FREE_WILL",0.6,0.0,10,LOW,False,DRAFT,1
CQ039,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Ambivalenz,"Welchen Vorteil hat der jetzige Zustand, selbst wenn er dich belastet?",Was schützt der jetzige Zustand möglicherweise in dir?,AMBIVALENCE,NEEDS,"OPENNESS,CLARITY,FREE_WILL",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ040,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Emotion,"Welches Gefühl taucht auf, wenn du an den nächsten Schritt denkst?","Welche innere Regung meldet sich, sobald du an Bewegung denkst?",EMOTIONAL_AWARENESS,COMMITMENT,"CLARITY,APPRECIATION",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ041,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Bedürfnisse,Welches Bedürfnis steht hinter deinem Wunsch oder deiner Ablehnung?,Welches tieferliegende Bedürfnis möchte durch dein Ja oder Nein geschützt werden?,NEEDS,BOUNDARIES,"APPRECIATION,FREE_WILL,CLARITY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ042,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Grenzen,Wo wäre ein klares Nein hilfreicher als ein halbherziges Ja?,Wo würde ein ehrliches Nein mehr Wahrhaftigkeit schaffen als Anpassung?,BOUNDARIES,FREE_WILL,"FREE_WILL,CLARITY,APPRECIATION",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ043,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,CORPORATE,Beziehung,"Welche Formulierung würde dein Anliegen klar ausdrücken, ohne die andere Person abzuwerten?",,RELATIONSHIP,CLARITY,"CONNECTION,APPRECIATION",0.6,0.0,10,LOW,False,DRAFT,1
CQ044,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Sprache,"Welche Wörter in deiner bisherigen Beschreibung wirken besonders endgültig – etwa immer, nie, muss oder unmöglich?","Welche Worte machen deine innere Landschaft enger, als die Wirklichkeit vielleicht ist?",BELIEFS,OPENNESS,"OPENNESS,AGENCY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ045,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Sprache,"Wie könntest du denselben Sachverhalt beschreiben, ohne deine Beobachtung zu verändern, aber mit mehr Handlungsspielraum?",Welche Formulierung lässt die Realität stehen und öffnet zugleich einen freieren inneren Raum?,AGENCY,CLARITY,"AGENCY,FREE_WILL",0.6,0.0,10,LOW,False,DRAFT,1
CQ046,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Selbstbild,"Beschreibst du gerade ein Verhalten – oder machst du daraus eine Aussage darüber, wer du bist?",Wo verwechselst du vielleicht eine Erfahrung mit deiner Identität?,IDENTITY_NARRATIVE,SELF_APPRECIATION,"APPRECIATION,OPENNESS,AGENCY",0.6,0.0,10,MEDIUM,False,DRAFT,1
CQ047,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Lernen,Was hast du aus einem ähnlichen Moment früher bereits gelernt?,,LEARNING,RESOURCES,"AGENCY,OPENNESS,APPRECIATION",0.6,0.0,10,LOW,False,DRAFT,1
CQ048,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Commitment,"Was wäre ein kleiner nächster Schritt, den du tatsächlich selbst wählen kannst?",Welcher kleine Schritt wäre zugleich frei gewählt und deinem inneren Anliegen treu?,COMMITMENT,AGENCY,"AGENCY,FREE_WILL,CLARITY",0.6,0.0,10,LOW,False,DRAFT,1
CQ049,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Commitment,Wann genau könntest du diesen Schritt ausprobieren?,,COMMITMENT,CLARITY,"AGENCY,FREE_WILL,CLARITY",0.6,0.0,10,LOW,False,DRAFT,1
CQ050,P2_FOLLOWUP_1_10,Folgefrage,ca. Antwort 1–10,BOTH,Skalierung,"Was müsste geschehen, damit du auf deiner Skala nur einen halben Punkt weiterkommst?","Welches kleinste Zeichen würde zeigen, dass du dich bereits in die gewünschte Richtung bewegst?",COMMITMENT,AGENCY,"AGENCY,FREE_WILL,CLARITY",0.6,0.0,10,LOW,False,DRAFT,1
CQ051,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Überzeugungen,"Welche Regel über dich, andere oder die Welt scheint in deiner Antwort mitzuschwingen?","Welche alte innere Regel könnte hier noch sprechen, obwohl du sie nie bewusst gewählt hast?",BELIEFS,ASSUMPTIONS,"OPENNESS,AGENCY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ052,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Überzeugungen,"Was wäre möglich, wenn diese Regel nur eine Hypothese und keine Tatsache wäre?","Was würde sich öffnen, wenn diese Überzeugung nur eine vorläufige Geschichte wäre?",BELIEFS,OPTIONS,"OPENNESS,AGENCY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ053,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Annahmen,Welche Information könnte deine derzeitige Sichtweise widerlegen?,,ASSUMPTIONS,OPENNESS,"CLARITY,OPENNESS",0.72,0.0,15,LOW,False,DRAFT,1
CQ054,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,CORPORATE,System,Welche unausgesprochene Team- oder Organisationsregel prägt die Situation?,,SYSTEMIC_CONTEXT,BELIEFS,"CONNECTION,CLARITY,OPENNESS",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ055,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,CORPORATE,System,"Welche Anreize oder Strukturen fördern genau das Verhalten, das ihr eigentlich verändern möchtet?",,SYSTEMIC_CONTEXT,REALITY_OBSERVATION,"CONNECTION,CLARITY,OPENNESS",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ056,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Perspektive,Welche Sichtweise fällt dir am schwersten ernst zu nehmen – und was könnte daran trotzdem wahr sein?,,PERSPECTIVE_TAKING,OPENNESS,"CONNECTION,OPENNESS",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ057,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Perspektive,"Was würdest du einem Menschen raten, den du sehr schätzt, wenn er in deiner Situation wäre?","Welche liebevolle Klarheit würdest du einem Menschen schenken, dem du tief verbunden bist?",SELF_APPRECIATION,PERSPECTIVE_TAKING,"APPRECIATION,AGENCY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ058,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,PRIVATE,Selbstwert,"Wo sprichst du mit dir härter, als du mit einem anderen Menschen sprechen würdest?",Welche Worte in dir brauchen eher Mitgefühl als weitere Korrektur?,SELF_APPRECIATION,IDENTITY_NARRATIVE,"APPRECIATION,AGENCY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ059,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Einfluss,Welcher Teil deiner Belastung entsteht aus dem Ereignis – und welcher aus deiner Deutung davon?,Was gehört zur äußeren Situation und was entsteht erst in deiner inneren Erzählung darüber?,LOCUS_OF_CONTROL,ASSUMPTIONS,"AGENCY,FREE_WILL,CLARITY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ060,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Einfluss,Welche Verantwortung gehört tatsächlich zu dir – und welche hast du zusätzlich übernommen?,"Welche Verantwortung ist wirklich deine, und welche trägst du vielleicht aus Gewohnheit für andere mit?",AGENCY,BOUNDARIES,"AGENCY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ061,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Werte,Welcher Wert gerät hier mit einem anderen wichtigen Wert in Konflikt?,Welche zwei inneren Wahrheiten ziehen gerade in unterschiedliche Richtungen?,VALUES,AMBIVALENCE,"CLARITY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ062,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,CORPORATE,Werte,Welche Entscheidung wäre mit euren erklärten Werten konsistent – auch wenn sie kurzfristig unbequemer ist?,,VALUES,DECISION,"CLARITY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ063,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,PRIVATE,Sinn,Welche Bedeutung möchtest du dieser Erfahrung rückblickend einmal geben können?,"Welche Bedeutung dürfte diese Erfahrung in deinem Lebensweg bekommen, ohne dass du sie schönreden musst?",MEANING,LEARNING,"OPENNESS,CLARITY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ064,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Ambivalenz,Welcher Teil von dir möchte vorwärts – und welcher möchte Sicherheit bewahren?,Welche beiden inneren Bewegungen verdienen hier gleichzeitig Gehör?,AMBIVALENCE,NEEDS,"OPENNESS,CLARITY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ065,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Bedürfnisse,Was versuchst du durch dein aktuelles Verhalten zu schützen oder zu erhalten?,Was versucht dein derzeitiges Muster möglicherweise liebevoll für dich zu bewahren?,NEEDS,AMBIVALENCE,"APPRECIATION,FREE_WILL,CLARITY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ066,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Grenzen,"Welche Grenze müsste klarer werden, damit Verbindung wieder leichter möglich ist?","Welche Grenze könnte Verbindung schützen, statt sie zu zerstören?",BOUNDARIES,RELATIONSHIP,"FREE_WILL,CLARITY,APPRECIATION",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ067,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,CORPORATE,Beziehung,Welche Wirkung hat deine aktuelle Sprache vermutlich auf die Handlungsfähigkeit der anderen?,,RELATIONSHIP,AGENCY,"CONNECTION,APPRECIATION",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ068,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Sprache,Welche deiner Formulierungen beschreibt eine Tatsache – und welche formuliert eine Vorhersage?,,CLARITY,ASSUMPTIONS,CLARITY,0.72,0.0,15,LOW,False,DRAFT,1
CQ069,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Sprache,"Wo benutzt du Notwendigkeitssprache, obwohl eigentlich eine Entscheidung oder Priorität dahintersteht?",Wo wird aus einer eigenen Wahl sprachlich ein Muss?,FREE_WILL,DECISION,"FREE_WILL,AGENCY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ070,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Sprache,"Welche Formulierung würdest du wählen, wenn du Verantwortung übernehmen möchtest, ohne dir Schuld zuzuschreiben?",Welche Worte erlauben Verantwortung ohne Selbstverurteilung?,AGENCY,SELF_APPRECIATION,"AGENCY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ071,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Ausnahmen,"Welche Situation beweist, dass deine problematische Generalisierung nicht immer stimmt?",,EXCEPTIONS,BELIEFS,"AGENCY,OPENNESS",0.72,0.0,15,LOW,False,DRAFT,1
CQ072,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Ressourcen,Welche Fähigkeit setzt du bereits selbstverständlich ein und unterschätzt sie deshalb?,"Welche stille Stärke in dir ist so vertraut geworden, dass du sie kaum noch bemerkst?",RESOURCES,SELF_APPRECIATION,"AGENCY,OPENNESS",0.72,0.0,15,LOW,False,DRAFT,1
CQ073,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Optionen,"Welche dritte Möglichkeit gibt es zwischen den beiden Polen, zwischen denen du gerade wählst?","Welche Möglichkeit erscheint, wenn es nicht nur Entweder-oder geben muss?",OPTIONS,OPENNESS,"FREE_WILL,OPENNESS,AGENCY",0.72,0.0,15,LOW,False,DRAFT,1
CQ074,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Optionen,Was wäre ein reversibler Versuch statt einer endgültigen Entscheidung?,,OPTIONS,LEARNING,"FREE_WILL,OPENNESS,AGENCY",0.72,0.0,15,LOW,False,DRAFT,1
CQ075,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,CORPORATE,Entscheidung,"Welche Entscheidung könntest du treffen, auch wenn noch nicht alle Informationen vorliegen?",,DECISION,AGENCY,"FREE_WILL,CLARITY,AGENCY",0.72,0.0,15,LOW,False,DRAFT,1
CQ076,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Risiko,Was ist der realistischste ungünstige Ausgang – und wie würdest du damit umgehen?,,AGENCY,CLARITY,"AGENCY,FREE_WILL",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ077,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Commitment,"Woran wirst du erkennen, dass dein nächster Schritt wirklich deiner Entscheidung entspricht und nicht nur äußeren Erwartungen?","Woran spürst du, dass dein nächster Schritt aus deiner eigenen Zustimmung entsteht?",COMMITMENT,FREE_WILL,"AGENCY,FREE_WILL,CLARITY",0.72,0.0,15,MEDIUM,False,DRAFT,1
CQ078,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Lernen,"Welche Rückmeldung würdest du nach dem nächsten Versuch brauchen, um sinnvoll nachzusteuern?",,LEARNING,CLARITY,"AGENCY,OPENNESS,APPRECIATION",0.72,0.0,15,LOW,False,DRAFT,1
CQ079,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Integration,Welche neue Formulierung möchtest du in den nächsten Tagen bewusst ausprobieren?,Welche Worte möchtest du deiner inneren und äußeren Sprache bewusst neu anbieten?,INTEGRATION,COMMITMENT,"AGENCY,CLARITY,OPENNESS",0.72,0.0,15,LOW,False,DRAFT,1
CQ080,P3_ADVANCED_10_20,Fortgeschritten,ca. Antwort 10–20,BOTH,Integration,"Was könnte dich daran erinnern, in einer angespannten Situation auf diese neue Sprache zurückzugreifen?",,INTEGRATION,RESOURCES,"AGENCY,CLARITY,OPENNESS",0.72,0.0,15,LOW,False,DRAFT,1
